Board Name: textSave2
Difficulty:2
Treasure Remaining:0
UI type:2
0,0,0,0,0,1,19,12,11,10,10,10,11,11,11,10,
1,1,1,0,0,1,2,19,11,11,11,12,12,19,11,10,
11,19,3,2,1,0,1,11,11,11,19,12,19,13,12,11,
12,13,19,29,2,2,1,11,10,11,11,12,12,113,19,11,
11,19,13,13,19,12,19,11,10,11,11,11,111,19,13,12,
11,11,11,11,11,112,112,12,11,12,19,14,13,13,13,19,
11,11,11,10,10,10,11,19,111,12,19,19,19,13,19,12,
11,19,11,11,12,12,12,11,11,11,12,14,19,13,111,11,
13,113,12,11,19,19,11,10,10,11,11,13,12,13,11,11,
19,19,12,12,13,12,11,10,11,12,19,12,19,12,19,11,
12,12,12,19,11,10,10,10,11,19,12,12,12,13,12,11,
10,10,11,11,11,11,11,11,11,11,11,10,11,19,11,10,
11,11,11,11,11,12,19,11,10,11,11,11,12,113,13,11,
11,19,11,11,19,12,11,12,11,12,19,12,12,19,19,11,
11,11,11,11,11,11,10,11,19,12,12,19,12,12,12,11,
10,10,10,10,10,10,10,11,11,11,11,11,11,10,10,10,
