Board Name: textSave3
Difficulty:3
Treasure Remaining:0
UI type:2
11,13,19,14,19,13,112,13,12,13,19,112,12,19,12,11,11,11,11,19,11,10,10,11,12,12,12,12,19,11,
19,13,19,14,19,13,19,19,19,13,19,12,13,19,13,11,19,111,12,12,12,10,110,11,19,19,13,19,14,13,
11,12,11,12,11,12,12,13,12,12,11,11,12,19,12,11,11,11,11,19,11,10,10,11,12,13,19,13,19,19,
10,10,10,10,10,10,11,11,11,11,12,12,13,12,12,10,10,11,12,12,11,10,10,10,10,11,11,13,13,13,
110,10,10,10,10,10,11,19,11,12,19,19,13,19,12,11,11,11,19,11,110,10,11,11,12,11,11,12,19,12,
11,11,11,12,12,11,11,11,11,12,19,19,13,11,12,19,12,12,12,11,10,10,11,19,12,19,11,12,19,12,
19,12,12,19,19,12,10,10,10,12,13,14,13,12,13,12,13,19,11,10,10,11,112,12,12,11,11,11,12,12,
19,112,12,19,19,13,11,11,11,11,19,12,19,19,13,19,13,12,11,10,10,11,19,12,11,12,11,12,13,19,
11,11,12,15,19,13,12,19,12,11,11,12,13,19,13,12,19,11,11,11,11,11,12,13,19,12,19,113,19,19,
10,11,12,19,19,12,12,19,12,10,10,10,11,11,11,11,11,11,111,19,12,11,11,19,12,12,12,19,15,14,
10,11,19,13,12,11,11,11,11,110,11,11,11,10,10,10,10,10,11,12,19,11,11,12,12,11,11,12,19,19,
11,12,113,12,11,10,11,11,11,10,11,19,11,10,10,10,10,11,11,12,12,13,12,12,19,12,11,12,13,19,
11,19,12,19,11,10,11,19,12,12,13,12,11,10,10,110,10,11,19,11,11,19,19,12,11,12,19,11,11,11,
11,11,12,11,11,20,11,11,12,19,19,112,10,10,10,11,111,12,11,12,12,13,12,11,10,11,11,11,10,10,
11,11,11,10,11,11,12,11,12,14,19,13,10,11,11,12,19,11,10,12,19,13,11,11,11,11,12,11,111,10,
11,19,11,10,11,19,112,19,11,12,19,12,10,11,19,12,11,11,10,12,19,13,19,11,11,19,12,19,11,10,
